nome_do_produto,proprietario_fornecedor,unidade_de_medida,quantidade_em_estoque,categoria_do_produto,valor_de_custo,valor_final,descricao_do_produto
Aluguel Carro Econômico Diária,21314559000166,diária,2000,Locação de Veículos,60.0,129.0,Aluguel de carro econômico por diária com seguro básico
Aluguel SUV Semanal,16670085000155,semana,1000,Locação de Veículos,400.0,899.0,Aluguel de SUV por semana com seguro completo e GPS
Apartamento 2 Quartos SP,73178600000118,unidade,50,Imóveis,320000.0,580000.0,Apartamento 2 quartos 65m² em São Paulo com lazer completo
Apartamento MCMV 2 Quartos,08343492000120,unidade,200,Imóveis,140000.0,240000.0,Apartamento 2 quartos 48m² pelo programa Minha Casa Minha Vida
Apartamento Studio Alto Padrão,08312229000173,unidade,30,Imóveis,280000.0,490000.0,Studio 35m² alto padrão em região central de São Paulo
Casa Térrea 2 Quartos,71476527000135,unidade,100,Imóveis,110000.0,185000.0,Casa térrea 2 quartos 42m² em condomínio fechado
Caixa de Papelão Ondulado 40x30x20,89637490000145,unidade,100000,Embalagens,2.8,5.5,Caixa de papelão ondulado simples 40x30x20cm
Saco Kraft Multifolha 25kg,89637490000145,fardo,20000,Embalagens,1.5,3.2,Saco de papel kraft multifolha para 25kg
Perfume Kaiak Masculino 100ml,71673990000177,unidade,3000,Perfumaria,55.0,119.9,Deo parfum Natura Kaiak masculino 100ml
Hidratante Corporal Tododia 400ml,71673990000177,unidade,5000,Higiene e Beleza,18.0,39.9,Loção hidratante corporal Natura Tododia 400ml
Ônibus Rodoviário Paradiso G8,88611835000129,unidade,20,Veículos,680000.0,980000.0,Ônibus rodoviário Marcopolo Paradiso G8 46 poltronas
Micro-ônibus Volare W9,88611835000129,unidade,40,Veículos,220000.0,380000.0,Micro-ônibus Volare W9 29 passageiros para fretamento
